"","date","NO2","SO2","Ozone","PM2.5","day","ratio"
"1",2019-01-01 01:00:00,59.45,10.73,86.14,67,2019-01-01,NA
"2",2019-01-01 02:00:00,60.48,7.67,84.87,72,2019-01-01,NA
"3",2019-01-01 03:00:00,50.15,6.1,119.32,73.75,2019-01-01,NA
"4",2019-01-01 04:00:00,45.15,4.65,111.42,64.5,2019-01-01,NA
"5",2019-01-01 05:00:00,46.92,4.12,107.26,77.75,2019-01-01,NA
"6",2019-01-01 06:00:00,58.7,5.65,82.12,83.5,2019-01-01,NA
"7",2019-01-01 07:00:00,69.98,4.25,60.02,79.5,2019-01-01,NA
"8",2019-01-01 08:00:00,63.07,7.15,61.05,92,2019-01-01,NA
"9",2019-01-01 09:00:00,69.03,8.2,55.07,102,2019-01-01,NA
"10",2019-01-01 10:00:00,78.2,10.58,80.61,108,2019-01-01,NA
"11",2019-01-01 11:00:00,81.57,9.25,122.11,83.25,2019-01-01,NA
"12",2019-01-01 12:00:00,89.05,7.98,136.81,60.75,2019-01-01,NA
"13",2019-01-01 13:00:00,85.45,7.13,154.55,51.5,2019-01-01,NA
"14",2019-01-01 14:00:00,93.07,7.93,148.08,43.5,2019-01-01,NA
"15",2019-01-01 15:00:00,86.28,7.6,130.39,39.75,2019-01-01,NA
"16",2019-01-01 16:00:00,80.73,9.28,125.1,33.75,2019-01-01,NA
"17",2019-01-01 17:00:00,87.5,11.08,104.12,36.25,2019-01-01,NA
"18",2019-01-01 18:00:00,96.17,11.17,55.08,39.25,2019-01-01,NA
"19",2019-01-01 19:00:00,114.35,10.35,2.16,52.25,2019-01-01,NA
"20",2019-01-01 20:00:00,118.95,11.33,1.81,73.5,2019-01-01,NA
"21",2019-01-01 21:00:00,113.5,13.03,7.93,80,2019-01-01,NA
"22",2019-01-01 22:00:00,97.52,9.35,18.18,70.75,2019-01-01,NA
"23",2019-01-01 23:00:00,95.28,8.5,38.91,52.25,2019-01-01,NA
"24",2019-01-02 00:00:00,76.98,8.43,87.17,52,2019-01-02,NA
"25",2019-01-02 01:00:00,56.98,7.4,123.18,48.25,2019-01-02,NA
"26",2019-01-02 02:00:00,51.85,7.6,124.75,46.5,2019-01-02,NA
"27",2019-01-02 03:00:00,44,7.02,138.33,46,2019-01-02,NA
"28",2019-01-02 04:00:00,45.2,5.42,126.71,41.5,2019-01-02,NA
"29",2019-01-02 05:00:00,47.47,4.77,121.57,51.25,2019-01-02,NA
"30",2019-01-02 06:00:00,64.28,4.5,61.2,66.75,2019-01-02,NA
"31",2019-01-02 07:00:00,75.45,7.8,24.45,71,2019-01-02,NA
"32",2019-01-02 08:00:00,79.07,8.53,34.1,86,2019-01-02,NA
"33",2019-01-02 09:00:00,69.17,10.62,76.05,83.5,2019-01-02,NA
"34",2019-01-02 10:00:00,79.38,11.05,103.93,74.25,2019-01-02,NA
"35",2019-01-02 11:00:00,85.03,11.65,106.52,65,2019-01-02,NA
"36",2019-01-02 12:00:00,81.1,10.2,125.49,50.5,2019-01-02,NA
"37",2019-01-02 13:00:00,78.85,4.78,132.79,40,2019-01-02,NA
"38",2019-01-02 14:00:00,86.2,2.27,118.58,31.25,2019-01-02,NA
"39",2019-01-02 15:00:00,80.25,2.83,117.41,30.25,2019-01-02,NA
"40",2019-01-02 16:00:00,77.73,3.48,100.4,27.75,2019-01-02,NA
"41",2019-01-02 17:00:00,85.03,6.23,91.58,36,2019-01-02,NA
"42",2019-01-02 18:00:00,98.43,7.35,39.25,37.75,2019-01-02,NA
"43",2019-01-02 19:00:00,93.9,8.33,16.51,43.25,2019-01-02,NA
"44",2019-01-02 20:00:00,98.68,10.55,6.51,46.25,2019-01-02,NA
"45",2019-01-02 21:00:00,97.07,14.15,6.18,53.25,2019-01-02,NA
"46",2019-01-02 22:00:00,102.15,11.93,3.53,55.75,2019-01-02,NA
"47",2019-01-02 23:00:00,96.77,10.17,11.81,60,2019-01-02,NA
"48",2019-01-03 00:00:00,77.45,10.88,54.49,57.5,2019-01-03,NA
"49",2019-01-03 01:00:00,69.18,9.75,75.46,NA,2019-01-03,NA
"50",2019-01-03 02:00:00,56.07,7.85,94.08,52.5,2019-01-03,NA
"51",2019-01-03 03:00:00,47.15,NA,134.16,51.5,2019-01-03,NA
"52",2019-01-03 04:00:00,45.8,5.62,131.23,54.75,2019-01-03,NA
"53",2019-01-03 05:00:00,52.48,5.3,94.08,67.5,2019-01-03,NA
"54",2019-01-03 06:00:00,63.65,3.4,54.68,86,2019-01-03,NA
"55",2019-01-03 07:00:00,73.7,6.15,19.7,77,2019-01-03,NA
"56",2019-01-03 08:00:00,72.88,8.25,25.24,86.5,2019-01-03,NA
"57",2019-01-03 09:00:00,67.62,9.75,54.34,84.5,2019-01-03,NA
"58",2019-01-03 10:00:00,72.55,11.35,76.63,70.75,2019-01-03,NA
"59",2019-01-03 11:00:00,84.58,11,95.45,61,2019-01-03,NA
"60",2019-01-03 12:00:00,84.57,12.58,105.45,31,2019-01-03,NA
"61",2019-01-03 13:00:00,83.58,8.45,109.61,28.25,2019-01-03,NA
"62",2019-01-03 14:00:00,82.05,5.38,139.31,21.5,2019-01-03,NA
"63",2019-01-03 15:00:00,83.17,5.67,116.91,27.25,2019-01-03,NA
"64",2019-01-03 16:00:00,86.5,7.78,94.23,31.25,2019-01-03,NA
"65",2019-01-03 17:00:00,98.4,9.95,58.31,31.5,2019-01-03,NA
"66",2019-01-03 18:00:00,107.58,10.88,27.44,31.75,2019-01-03,NA
"67",2019-01-03 19:00:00,103.45,10.15,4.76,39,2019-01-03,NA
"68",2019-01-03 20:00:00,120.22,12,NA,49.75,2019-01-03,NA
"69",2019-01-03 21:00:00,112.23,12.13,NA,64.5,2019-01-03,NA
"70",2019-01-03 22:00:00,85.77,11.8,NA,65.5,2019-01-03,NA
"71",2019-01-03 23:00:00,80.78,9.7,32.98,61.75,2019-01-03,NA
"72",2019-01-04 00:00:00,72.3,11.28,57.87,53.5,2019-01-04,NA
"73",2019-01-04 01:00:00,63.68,9.7,62.18,48.25,2019-01-04,NA
"74",2019-01-04 02:00:00,63.33,9.55,55.91,45.75,2019-01-04,NA
"75",2019-01-04 03:00:00,56.6,8.27,77.86,45.5,2019-01-04,NA
"76",2019-01-04 04:00:00,53.88,7.93,98.73,47.5,2019-01-04,NA
"77",2019-01-04 05:00:00,60.8,6.23,66.3,50.75,2019-01-04,NA
"78",2019-01-04 06:00:00,77.15,4.1,24.89,60.25,2019-01-04,NA
"79",2019-01-04 07:00:00,86.52,7.32,9.46,79.75,2019-01-04,NA
"80",2019-01-04 08:00:00,90.9,10.58,7.59,108.25,2019-01-04,NA
"81",2019-01-04 09:00:00,95.02,13.42,25.43,126,2019-01-04,NA
"82",2019-01-04 10:00:00,93.68,13,41.65,93.5,2019-01-04,NA
"83",2019-01-04 11:00:00,100.75,12.9,53.85,58.5,2019-01-04,NA
"84",2019-01-04 12:00:00,89.73,11.12,107.95,54,2019-01-04,NA
"85",2019-01-04 13:00:00,91.25,7.23,101.04,42,2019-01-04,NA
"86",2019-01-04 14:00:00,83.88,5,116.23,31.75,2019-01-04,NA
"87",2019-01-04 15:00:00,84.38,4.85,115,29,2019-01-04,NA
"88",2019-01-04 16:00:00,83.85,6.63,115.83,34,2019-01-04,NA
"89",2019-01-04 17:00:00,94.95,7.92,74.33,40,2019-01-04,NA
"90",2019-01-04 18:00:00,86.48,9.82,67.57,41.75,2019-01-04,NA
"91",2019-01-04 19:00:00,94.8,8.97,24.4,49.25,2019-01-04,NA
"92",2019-01-04 20:00:00,97.83,8.57,4.12,58.25,2019-01-04,NA
"93",2019-01-04 21:00:00,92.1,7.98,17.94,63,2019-01-04,NA
"94",2019-01-04 22:00:00,87,7.4,41.84,55,2019-01-04,NA
"95",2019-01-04 23:00:00,78,6.97,63.9,48.75,2019-01-04,NA
"96",2019-01-05 00:00:00,71.7,8.38,68.55,48.5,2019-01-05,NA
"97",2019-01-05 01:00:00,69.17,10.05,80.16,50.25,2019-01-05,NA
"98",2019-01-05 02:00:00,55.95,8.52,102.02,50.75,2019-01-05,NA
"99",2019-01-05 03:00:00,55.85,8.32,93.69,48,2019-01-05,NA
"100",2019-01-05 04:00:00,54.88,8.85,84.91,42.75,2019-01-05,NA
"101",2019-01-05 05:00:00,66.65,9.5,47.73,47.25,2019-01-05,NA
"102",2019-01-05 06:00:00,81.42,9.15,28.66,56.75,2019-01-05,NA
"103",2019-01-05 07:00:00,87.62,10.2,17.3,65.5,2019-01-05,NA
"104",2019-01-05 08:00:00,82.55,7.72,35.87,70.25,2019-01-05,NA
"105",2019-01-05 09:00:00,74.82,10.15,86.14,76.5,2019-01-05,NA
"106",2019-01-05 10:00:00,88.75,10.75,72.57,67.5,2019-01-05,NA
"107",2019-01-05 11:00:00,90.05,10.6,97.76,68,2019-01-05,NA
"108",2019-01-05 12:00:00,81.23,8.12,133.67,51.5,2019-01-05,NA
"109",2019-01-05 13:00:00,89.97,4.68,129.01,37,2019-01-05,NA
"110",2019-01-05 14:00:00,89.35,3.08,128.33,34.25,2019-01-05,NA
"111",2019-01-05 15:00:00,85.32,2.55,140.73,34,2019-01-05,NA
"112",2019-01-05 16:00:00,86.95,5.3,109.56,32.75,2019-01-05,NA
"113",2019-01-05 17:00:00,84.73,6.33,129.21,36.25,2019-01-05,NA
