"","date","NO2","SO2","Ozone","PM2.5","day","ratio"
"114",2019-01-05 18:00:00,76.8,5.95,89.62,31.75,2019-01-05,NA
"115",2019-01-05 19:00:00,113.95,8.97,5.59,37.75,2019-01-05,NA
"116",2019-01-05 20:00:00,107.12,12.67,12.15,51.75,2019-01-05,NA
"117",2019-01-05 21:00:00,100.8,10.17,19.8,57,2019-01-05,NA
"118",2019-01-05 22:00:00,91.17,8.72,30.08,49.75,2019-01-05,NA
"119",2019-01-05 23:00:00,88.45,8.38,36.26,55.5,2019-01-05,NA
"120",2019-01-06 00:00:00,85.12,9.15,25.18,58.75,2019-01-06,NA
"121",2019-01-06 01:00:00,73.95,8.28,52.63,62.5,2019-01-06,NA
"122",2019-01-06 02:00:00,69.32,7.15,66.74,60.25,2019-01-06,NA
"123",2019-01-06 03:00:00,58.97,7.27,103.83,64,2019-01-06,NA
"124",2019-01-06 04:00:00,47.05,5.82,118.34,55,2019-01-06,NA
"125",2019-01-06 05:00:00,51.38,3.45,103.29,58.5,2019-01-06,NA
"126",2019-01-06 06:00:00,56.15,3.8,76.78,72,2019-01-06,NA
"127",2019-01-06 07:00:00,57.65,3.67,62.23,80.5,2019-01-06,NA
"128",2019-01-06 08:00:00,56.45,6.3,75.31,79.75,2019-01-06,NA
"129",2019-01-06 09:00:00,60.62,7.55,91.09,80.75,2019-01-06,NA
"130",2019-01-06 10:00:00,65.67,9.35,113.48,76.5,2019-01-06,NA
"131",2019-01-06 11:00:00,79.22,10.45,134.85,74.5,2019-01-06,NA
"132",2019-01-06 12:00:00,80.93,10.15,176.99,69.5,2019-01-06,NA
"133",2019-01-06 13:00:00,83.75,5.62,185.61,55.25,2019-01-06,NA
"134",2019-01-06 14:00:00,90.62,2.95,189.63,45.75,2019-01-06,NA
"135",2019-01-06 15:00:00,91.27,1.97,176.06,49,2019-01-06,NA
"136",2019-01-06 16:00:00,85.42,3.95,164.64,41.75,2019-01-06,NA
"137",2019-01-06 17:00:00,83.1,3.8,152.29,38.75,2019-01-06,NA
"138",2019-01-06 18:00:00,77.68,3.4,125.05,41.5,2019-01-06,NA
"139",2019-01-06 19:00:00,100.3,8.15,27.54,48,2019-01-06,NA
"140",2019-01-06 20:00:00,92.05,7.23,44.49,61.75,2019-01-06,NA
"141",2019-01-06 21:00:00,91.75,5.22,42.39,59,2019-01-06,NA
"142",2019-01-06 22:00:00,86.62,4.75,53.66,62,2019-01-06,NA
"143",2019-01-06 23:00:00,77.75,4.72,77.91,62.25,2019-01-06,NA
"144",2019-01-07 00:00:00,66.65,5.9,107.46,63.5,2019-01-07,NA
"145",2019-01-07 01:00:00,61.98,7.6,121.08,63.25,2019-01-07,NA
"146",2019-01-07 02:00:00,53.82,8.65,136.17,57,2019-01-07,NA
"147",2019-01-07 03:00:00,48.93,9.3,141.66,53.75,2019-01-07,NA
"148",2019-01-07 04:00:00,49.05,6.62,115.49,54.25,2019-01-07,NA
"149",2019-01-07 05:00:00,58.97,5.02,89.18,59.75,2019-01-07,NA
"150",2019-01-07 06:00:00,61.5,3.8,67.42,65.75,2019-01-07,NA
"151",2019-01-07 07:00:00,74.7,5.7,29.5,71.25,2019-01-07,NA
"152",2019-01-07 08:00:00,85.62,8.65,19.99,87.75,2019-01-07,NA
"153",2019-01-07 09:00:00,84.82,10.62,42.63,105.75,2019-01-07,NA
"154",2019-01-07 10:00:00,96.17,13.28,60.91,96.25,2019-01-07,NA
"155",2019-01-07 11:00:00,95.98,12.38,109.42,84.5,2019-01-07,NA
"156",2019-01-07 12:00:00,81.48,11.05,172.04,70.75,2019-01-07,NA
"157",2019-01-07 13:00:00,88.45,9.3,184.34,58.75,2019-01-07,NA
"158",2019-01-07 14:00:00,94.5,7.75,175.12,51.75,2019-01-07,NA
"159",2019-01-07 15:00:00,94.57,6.5,140.04,48,2019-01-07,NA
"160",2019-01-07 16:00:00,88.47,7.6,115.05,41.5,2019-01-07,NA
"161",2019-01-07 17:00:00,94.9,6.05,88.79,49,2019-01-07,NA
"162",2019-01-07 18:00:00,103.1,9.27,42.34,48.25,2019-01-07,NA
"163",2019-01-07 19:00:00,108.08,9.62,8.92,NA,2019-01-07,NA
"164",2019-01-07 20:00:00,119.02,13.05,NA,59.25,2019-01-07,NA
"165",2019-01-07 21:00:00,110.95,11.12,NA,74.5,2019-01-07,NA
"166",2019-01-07 22:00:00,101,10.45,NA,71,2019-01-07,NA
"167",2019-01-07 23:00:00,93.98,9.37,NA,69.5,2019-01-07,NA
"168",2019-01-08 00:00:00,79.75,7.47,11.07,63.25,2019-01-08,NA
"169",2019-01-08 01:00:00,74.62,6.22,24.7,54.5,2019-01-08,NA
"170",2019-01-08 02:00:00,71.25,7.85,29.25,44.75,2019-01-08,NA
"171",2019-01-08 03:00:00,58.3,7.72,57.92,49.75,2019-01-08,NA
"172",2019-01-08 04:00:00,60.73,8.12,29.74,57.25,2019-01-08,NA
"173",2019-01-08 05:00:00,69.07,8.6,21.9,55.5,2019-01-08,NA
"174",2019-01-08 06:00:00,76.18,6.8,10.44,58.25,2019-01-08,NA
"175",2019-01-08 07:00:00,81.9,5.57,0.78,67.25,2019-01-08,NA
"176",2019-01-08 08:00:00,83.57,4.53,4.71,86.5,2019-01-08,NA
"177",2019-01-08 09:00:00,87.72,4.3,41.6,93.25,2019-01-08,NA
"178",2019-01-08 10:00:00,97.47,5.9,85.16,76.75,2019-01-08,NA
"179",2019-01-08 11:00:00,91.1,5.75,146.9,59.25,2019-01-08,NA
"180",2019-01-08 12:00:00,83.15,6.4,172.67,54.75,2019-01-08,NA
"181",2019-01-08 13:00:00,79.5,6.03,179,53.25,2019-01-08,NA
"182",2019-01-08 14:00:00,72.8,7.35,176.99,42.5,2019-01-08,NA
"183",2019-01-08 15:00:00,74.05,7.32,179.83,NA,2019-01-08,NA
"184",2019-01-08 16:00:00,75.15,7.42,149.65,40,2019-01-08,NA
"185",2019-01-08 17:00:00,79.42,5.3,146.8,44.25,2019-01-08,NA
"186",2019-01-08 18:00:00,92.35,7.07,111.62,42.5,2019-01-08,NA
"187",2019-01-08 19:00:00,120.65,9.48,27.24,60,2019-01-08,NA
"188",2019-01-08 20:00:00,114.53,12.65,17.94,79.25,2019-01-08,NA
"189",2019-01-08 21:00:00,112.45,11.98,24.16,72.25,2019-01-08,NA
"190",2019-01-08 22:00:00,109.1,11.8,18.62,67.5,2019-01-08,NA
"191",2019-01-08 23:00:00,91.78,11.73,74.18,65.75,2019-01-08,NA
"192",2019-01-09 00:00:00,69.15,10.88,123.28,56.75,2019-01-09,NA
"193",2019-01-09 01:00:00,65.35,10.38,115.39,58.5,2019-01-09,NA
"194",2019-01-09 02:00:00,57.55,14.07,118.87,56.5,2019-01-09,NA
"195",2019-01-09 03:00:00,52.6,14.12,125.34,55,2019-01-09,NA
"196",2019-01-09 04:00:00,55.3,16.1,104.66,55.75,2019-01-09,NA
"197",2019-01-09 05:00:00,73.12,17.23,40.57,62.25,2019-01-09,NA
"198",2019-01-09 06:00:00,80.57,15.35,17.49,77,2019-01-09,NA
"199",2019-01-09 07:00:00,68.78,9.78,45.67,86.25,2019-01-09,NA
"200",2019-01-09 08:00:00,88.45,7,15.29,102.75,2019-01-09,NA
"201",2019-01-09 09:00:00,91.1,6.67,46.84,120.5,2019-01-09,NA
"202",2019-01-09 10:00:00,102.5,7.97,90.26,108.75,2019-01-09,NA
"203",2019-01-09 11:00:00,98.93,7.47,141.27,90.75,2019-01-09,NA
"204",2019-01-09 12:00:00,89.83,8.3,174.29,69.75,2019-01-09,NA
"205",2019-01-09 13:00:00,94.72,7.97,186.15,51.25,2019-01-09,NA
"206",2019-01-09 14:00:00,93.75,7.45,180.71,42.5,2019-01-09,NA
"207",2019-01-09 15:00:00,95.18,6.95,189.73,41.5,2019-01-09,NA
"208",2019-01-09 16:00:00,86.97,7.07,180.91,41.75,2019-01-09,NA
"209",2019-01-09 17:00:00,91.05,9.85,157.39,38,2019-01-09,NA
"210",2019-01-09 18:00:00,93.38,11.43,123.82,38.25,2019-01-09,NA
"211",2019-01-09 19:00:00,114.8,14.68,12.05,43.75,2019-01-09,NA
"212",2019-01-09 20:00:00,119,17.3,NA,60.75,2019-01-09,NA
"213",2019-01-09 21:00:00,114.38,16.95,NA,67.5,2019-01-09,NA
"214",2019-01-09 22:00:00,107.28,23.98,13.18,64.25,2019-01-09,NA
"215",2019-01-09 23:00:00,91.15,16.3,30.92,63,2019-01-09,NA
"216",2019-01-10 00:00:00,90.12,13.55,33.66,50.75,2019-01-10,NA
"217",2019-01-10 01:00:00,80.2,12.7,55.76,61.5,2019-01-10,NA
"218",2019-01-10 02:00:00,74.42,9.22,75.02,68,2019-01-10,NA
"219",2019-01-10 03:00:00,65,7.95,121.03,63.5,2019-01-10,NA
"220",2019-01-10 04:00:00,61.75,7.4,120.49,63,2019-01-10,NA
"221",2019-01-10 05:00:00,62.38,4.22,117.16,73.5,2019-01-10,NA
"222",2019-01-10 06:00:00,84.75,1.95,63.06,71.5,2019-01-10,NA
"223",2019-01-10 07:00:00,92.3,4.47,31.95,86.5,2019-01-10,NA
"224",2019-01-10 08:00:00,94.88,8.72,21.17,114.5,2019-01-10,NA
"225",2019-01-10 09:00:00,83.92,8.98,34.74,126.25,2019-01-10,NA
"226",2019-01-10 10:00:00,94.53,11.07,88.1,108.25,2019-01-10,NA
"227",2019-01-10 11:00:00,98,12.57,131.76,92.75,2019-01-10,NA
"228",2019-01-10 12:00:00,109.65,9.62,149.59,77.5,2019-01-10,NA
"229",2019-01-10 13:00:00,108.55,9.75,175.17,65.75,2019-01-10,NA
"230",2019-01-10 14:00:00,102.88,8.82,184,50.25,2019-01-10,NA
"231",2019-01-10 15:00:00,102.9,8.62,168.16,44,2019-01-10,NA
"232",2019-01-10 16:00:00,86.5,9.75,174.05,48.5,2019-01-10,NA
"233",2019-01-10 17:00:00,86.2,9.72,160.28,45,2019-01-10,NA
"234",2019-01-10 18:00:00,80.6,10.47,107.85,47.75,2019-01-10,NA
"235",2019-01-10 19:00:00,104.62,10.4,21.8,48,2019-01-10,NA
"236",2019-01-10 20:00:00,111.17,11.62,10.48,53.25,2019-01-10,NA
"237",2019-01-10 21:00:00,114.3,11.38,1.37,64,2019-01-10,NA
"238",2019-01-10 22:00:00,113.5,10.97,13.67,72.5,2019-01-10,NA
"239",2019-01-10 23:00:00,101.57,14.15,13.28,62.75,2019-01-10,NA
"240",2019-01-11 00:00:00,84.3,12.2,49.98,64,2019-01-11,NA
"241",2019-01-11 01:00:00,75.72,13.57,89.52,63,2019-01-11,NA
"242",2019-01-11 02:00:00,64.35,12.5,125.24,66.75,2019-01-11,NA
"243",2019-01-11 03:00:00,57.65,10.27,127.5,60.5,2019-01-11,NA
"244",2019-01-11 04:00:00,49.62,9.17,123.53,63.25,2019-01-11,NA
"245",2019-01-11 05:00:00,54.25,7.5,91.33,66.5,2019-01-11,NA
"246",2019-01-11 06:00:00,65.08,7.1,59.24,64.25,2019-01-11,NA
"247",2019-01-11 07:00:00,64.58,7.55,42.09,69,2019-01-11,NA
"248",2019-01-11 08:00:00,72.12,6.57,37.83,92.75,2019-01-11,NA
"249",2019-01-11 09:00:00,62.9,8.07,64.04,98.25,2019-01-11,NA
"250",2019-01-11 10:00:00,78.8,10.8,66.05,88.75,2019-01-11,NA
"251",2019-01-11 11:00:00,90.3,10.15,85.5,82,2019-01-11,NA
"252",2019-01-11 12:00:00,98.88,9.82,127.25,72,2019-01-11,NA
"253",2019-01-11 13:00:00,100.9,10.75,167.92,66.75,2019-01-11,NA
"254",2019-01-11 14:00:00,95.22,7.72,163.81,56.5,2019-01-11,NA
"255",2019-01-11 15:00:00,96.2,7.07,186.1,46,2019-01-11,NA
"256",2019-01-11 16:00:00,95.55,8.12,187.08,45,2019-01-11,NA
"257",2019-01-11 17:00:00,101.05,6.67,133.03,42.75,2019-01-11,NA
"258",2019-01-11 18:00:00,108.42,6.57,74.82,46,2019-01-11,NA
"259",2019-01-11 19:00:00,136.88,8.85,6.27,62.5,2019-01-11,NA
"260",2019-01-11 20:00:00,131.77,13.95,NA,102,2019-01-11,NA
"261",2019-01-11 21:00:00,111.75,13.88,NA,89.5,2019-01-11,NA
"262",2019-01-11 22:00:00,100.67,11.07,7.84,62,2019-01-11,NA
"263",2019-01-11 23:00:00,97.15,11.53,12.1,65.25,2019-01-11,NA
"264",2019-01-12 00:00:00,89.42,11.48,24.89,67.25,2019-01-12,NA
"265",2019-01-12 01:00:00,77.93,9.55,54.14,71.25,2019-01-12,NA
"266",2019-01-12 02:00:00,65.08,8.45,89.67,72.25,2019-01-12,NA
"267",2019-01-12 03:00:00,61.5,9.12,90.75,74.5,2019-01-12,NA
"268",2019-01-12 04:00:00,56.2,10.38,69.53,79.25,2019-01-12,NA
"269",2019-01-12 05:00:00,55.35,11.6,77.12,80.75,2019-01-12,NA
"270",2019-01-12 06:00:00,59.95,9.55,87.42,85,2019-01-12,NA
"271",2019-01-12 07:00:00,80,7.45,36.95,92.5,2019-01-12,NA
"272",2019-01-12 08:00:00,82.65,7.52,29.8,99.25,2019-01-12,NA
"273",2019-01-12 09:00:00,80.5,5.3,31.95,105,2019-01-12,NA
"274",2019-01-12 10:00:00,78.67,7.47,96.92,97.25,2019-01-12,NA
"275",2019-01-12 11:00:00,79.58,8.7,164,79.25,2019-01-12,NA
"276",2019-01-12 12:00:00,76.35,NA,162.04,66.5,2019-01-12,NA
"277",2019-01-12 13:00:00,91.58,8.65,182.68,62.25,2019-01-12,NA
"278",2019-01-12 14:00:00,100.15,5.1,172.04,60,2019-01-12,NA
"279",2019-01-12 15:00:00,95.57,4.88,165.28,52.25,2019-01-12,NA
"280",2019-01-12 16:00:00,102.93,5.28,160.87,54.25,2019-01-12,NA
"281",2019-01-12 17:00:00,103.15,5.78,116.38,52.5,2019-01-12,NA
"282",2019-01-12 18:00:00,113.93,4.85,60.56,63.5,2019-01-12,NA
"283",2019-01-12 19:00:00,126.97,9.43,10.24,74.75,2019-01-12,NA
"284",2019-01-12 20:00:00,132.93,17.38,1.18,104,2019-01-12,NA
"285",2019-01-12 21:00:00,106.35,14.95,31.65,94.75,2019-01-12,NA
"286",2019-01-12 22:00:00,92.45,15.08,55.42,65.5,2019-01-12,NA
"287",2019-01-12 23:00:00,84.9,12.5,67.43,62.5,2019-01-12,NA
"288",2019-01-13 00:00:00,68.83,11.95,115.64,65.25,2019-01-13,NA
"289",2019-01-13 01:00:00,58.75,7.75,120,59,2019-01-13,NA
"290",2019-01-13 02:00:00,54.35,2.45,98,56,2019-01-13,NA
"291",2019-01-13 03:00:00,46.78,2.95,108.29,54.5,2019-01-13,NA
"292",2019-01-13 04:00:00,49.02,6.75,84.62,49.5,2019-01-13,NA
"293",2019-01-13 05:00:00,57.52,5.15,56.94,49,2019-01-13,NA
"294",2019-01-13 06:00:00,59.6,2.75,40.28,55,2019-01-13,NA
"295",2019-01-13 07:00:00,64,6.2,29.79,65.25,2019-01-13,NA
"296",2019-01-13 08:00:00,64.25,9.62,21.32,75.75,2019-01-13,NA
"297",2019-01-13 09:00:00,60.85,10.95,49.88,94,2019-01-13,NA
"298",2019-01-13 10:00:00,76.45,9.1,70.9,86.5,2019-01-13,NA
"299",2019-01-13 11:00:00,93.8,8.2,130.29,79.75,2019-01-13,NA
"300",2019-01-13 12:00:00,109.4,1.8,170.32,70.25,2019-01-13,NA
"301",2019-01-13 13:00:00,NA,NA,NA,NA,2019-01-13,NA
"302",2019-01-13 14:00:00,NA,NA,NA,NA,2019-01-13,NA
"303",2019-01-13 15:00:00,NA,NA,43.71,NA,2019-01-13,NA
"304",2019-01-13 16:00:00,67.28,16.77,184.82,NA,2019-01-13,NA
"305",2019-01-13 17:00:00,71.32,19.73,174.44,NA,2019-01-13,NA
"306",2019-01-13 18:00:00,77.65,18.03,118.28,39,2019-01-13,NA
"307",2019-01-13 19:00:00,100.4,13.8,24.74,43.75,2019-01-13,NA
"308",2019-01-13 20:00:00,100.53,12.38,12.15,56.5,2019-01-13,NA
"309",2019-01-13 21:00:00,97.55,14.72,8.13,52.5,2019-01-13,NA
"310",2019-01-13 22:00:00,91.7,15.15,14.65,53.5,2019-01-13,NA
"311",2019-01-13 23:00:00,79.18,15.68,16.17,51.75,2019-01-13,NA
"312",2019-01-14 00:00:00,79.32,11.45,19.5,NA,2019-01-14,NA
"313",2019-01-14 01:00:00,72.05,8.32,27.83,53.25,2019-01-14,NA
"314",2019-01-14 02:00:00,60.2,8.82,58.6,50.25,2019-01-14,NA
"315",2019-01-14 03:00:00,50.5,7.35,76.3,48.25,2019-01-14,NA
"316",2019-01-14 04:00:00,51.33,9.72,77.08,51,2019-01-14,NA
"317",2019-01-14 05:00:00,50.95,4.9,56.94,57,2019-01-14,NA
"318",2019-01-14 06:00:00,70,10.45,20.88,62.25,2019-01-14,NA
"319",2019-01-14 07:00:00,64.17,10.4,20.19,80,2019-01-14,NA
"320",2019-01-14 08:00:00,69.47,7.72,8.09,93,2019-01-14,NA
"321",2019-01-14 09:00:00,63.45,7.4,22.49,106.5,2019-01-14,NA
"322",2019-01-14 10:00:00,69.65,8.3,44.94,82.25,2019-01-14,NA
"323",2019-01-14 11:00:00,81.88,9.07,62.62,80.5,2019-01-14,NA
"324",2019-01-14 12:00:00,95.38,10.15,100.11,85.75,2019-01-14,NA
"325",2019-01-14 13:00:00,94.67,11,133.28,69.25,2019-01-14,NA
"326",2019-01-14 14:00:00,91.62,10.8,151.17,61.75,2019-01-14,NA
"327",2019-01-14 15:00:00,99.75,11.55,135.63,NA,2019-01-14,NA
"328",2019-01-14 16:00:00,92.05,9.28,150.72,NA,2019-01-14,NA
"329",2019-01-14 17:00:00,85.1,9.35,113.24,NA,2019-01-14,NA
"330",2019-01-14 18:00:00,98.22,12.3,56.2,NA,2019-01-14,NA
"331",2019-01-14 19:00:00,119.7,10.85,12.45,59.75,2019-01-14,NA
"332",2019-01-14 20:00:00,118.45,9.18,NA,76.25,2019-01-14,NA
"333",2019-01-14 21:00:00,111.78,8.2,NA,81.75,2019-01-14,NA
"334",2019-01-14 22:00:00,93.95,3.35,28.27,76.5,2019-01-14,NA
"335",2019-01-14 23:00:00,82.82,2.02,66.98,68.75,2019-01-14,NA
"336",2019-01-15 00:00:00,64.88,1.07,95.55,58.5,2019-01-15,NA
"337",2019-01-15 01:00:00,62.3,7.4,105.64,55,2019-01-15,NA
