"","month","NO2_mean","SO2_mean","Ozone_mean","PM2.5_mean","NO2_sd","SO2_sd","Ozone_sd","PM2.5_sd","NO2_median","SO2_median","Ozone_median","PM2.5_median","NO2_IQR","SO2_IQR","Ozone_IQR","PM2.5_IQR"
"1","2019-01",72.7623747412008,8.86735198357043,82.8898691240192,59.2112767894491,14.5011175274027,1.74059858868851,13.0931758544707,11.3978679129598,79.6420833333333,8.83041666666667,80.7175,60.3586956521739,20.7183333333333,2.13205357142857,16.2501071428571,14.6055253623188
"2","2019-02",69.4627403846154,9.47858556298774,72.1745420500552,48.8556377951758,7.05119811743315,2.57126814397549,18.2757852233393,8.61036811497481,69.1489583333333,8.40354166666667,71.515625,47.125,10.3734375000001,3.40114583333336,25.4371199162679,10.8650568181819
"3","2019-03",67.1386209239131,9.97747013614405,68.1988621401564,46.6980125558186,7.88034712229221,2.828438135767,17.9061328758217,8.1986771880368,67.2216666666666,9.57333333333333,67.3970833333333,44.3994565217392,12.9647916666666,3.67541666666663,20.5243749999999,12.1070233585859
"4","2019-04",60.9189148351648,NA,61.4739835164835,41.5353991808154,5.9104592907953,NA,10.0919844035506,6.21206334564141,60.143125,NA,63.2433333333334,40.828125,7.86937500000002,NA,15.0932291666666,8.72792119565218
"5","2019-05",45.0544569922831,3.07088641417627,59.9317559523809,44.9265428799979,6.13120013851195,0.462895311951424,21.1586659907153,8.67493467368435,43.2239583333333,3.16130434782609,52.6691666666667,43.4171401515151,8.06270833333335,0.545631422924895,24.7535416666666,11.4230072463768
"6","2019-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-07",20.9338362068966,NA,15.2975503319769,28.5481994662333,3.02545617825626,NA,3.99840163101204,5.17245125805468,20.5654166666667,NA,14.6270833333333,27.015625,4.2308333333333,NA,4.0508333333334,6.72748447204965
"8","2019-08",18.9586383824217,NA,9.62434320413106,21.1504109852023,2.16409755639858,NA,3.68307235676097,4.17781582884181,19.0583333333333,NA,8.80583333333333,20.58125,2.37270833333335,NA,3.80124999999996,3.32372159090908
"9","2019-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
